title,director,cast,country,date_added,release_year,rating,number_of_seasons,listed_in,description
"The Mind, Explained",Unknown,Emma Stone,United States,2019-09-12T00:00:00Z,2019,TV-14,1,"Docuseries, Science & Nature TV","Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series."
Life,Unknown,"Lee Dong-wook, Cho Seung-woo, Won Jin-ah, Lee Kyu-hyung, Moon Sung-keun, Yoo Jae-myung, Moon So-ri, Chun Ho-jin",South Korea,2018-09-12T00:00:00Z,2018,TV-MA,1,"International TV Shows, Korean TV Shows, TV Dramas","At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO."
Daniel Sloss: Live Shows,Unknown,Daniel Sloss,United States,2018-09-11T00:00:00Z,2018,TV-MA,1,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent."
If I were an Animal,Unknown,"Zachary Young, Fleur Delahunty",Unknown,2018-09-11T00:00:00Z,2018,TV-Y,1,"Docuseries, Kids' TV, Science & Nature TV","Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood."
Terrace House: Tokyo 2019-2020,Unknown,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",Unknown,2019-09-10T00:00:00Z,2019,TV-MA,1,"International TV Shows, Reality TV","Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them."
Loo Loo Kids: Johny & Friends Musical Adventures,Unknown,Unknown,Unknown,2019-09-01T00:00:00Z,2016,TV-Y,1,Kids' TV,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series."
Serial Killer with Piers Morgan,Unknown,Piers Morgan,United Kingdom,2019-09-01T00:00:00Z,2018,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives."
Transformers Rescue Bots Academy,Unknown,"Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou",United States,2019-09-01T00:00:00Z,2019,TV-Y,1,Kids' TV,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions."
Transformers: Cyberverse,Unknown,"Sophia Isabella, Jeremy Levy, Jacob Tillman, Ryan Andes, Deanna McGovern, Dick Terhune",Unknown,2019-09-01T00:00:00Z,2018,TV-Y7,1,Kids' TV,Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.
Age of Rebellion,Peter Ho,"Peter Ho, Jeanine Yang, Tammy Chen, Jason Tsou, Chang Ting-hu, Nana Lee, Nien Hsuan Wu",Taiwan,2018-09-01T00:00:00Z,2018,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds."
Sisters,Unknown,"Lucy Durack, Antonia Prebble, Maria Angelico, Dan Spielman, Charlie Garber, Lindsay Farris, Zindzi Okenyo, Catherine McClements, Roy Billing, Magda Szubanski",Australia,2018-09-01T00:00:00Z,2018,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas",Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.
The Road to Calvary,Unknown,"Anna Chipovskaya, Yulia Snigir, Leonid Bichevin, Pavel Trubiner",Russia,2018-09-01T00:00:00Z,2017,TV-14,1,"International TV Shows, TV Dramas","Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them."
A Boy Name Flora A,Unknown,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang",Taiwan,2017-09-01T00:00:00Z,2017,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas",A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.
A House of Blocks,Unknown,"Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting",Unknown,2017-09-01T00:00:00Z,2017,TV-MA,1,"International TV Shows, TV Dramas, TV Horror","Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost."
All About Love,Unknown,"Christina Mok, River Huang, Stone Yang, April Liu, Andy Wu, Jake Hsu",Taiwan,2017-09-01T00:00:00Z,2017,TV-14,1,"International TV Shows, TV Dramas, TV Horror",Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind.
FINAL FANTASY XIV Dad of Light,Unknown,"Yudai Chiba, Ren Osugi, Fumika Baba, Yoshihiko Hakamada, Hatsunori Hasegawa, Mako Ishino",Japan,2017-09-01T00:00:00Z,2017,TV-PG,1,"International TV Shows, TV Dramas",A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.
Gurren Lagann,Unknown,"Tetsuya Kakihara, Katsuyuki Konishi, Marina Inoue, Masaya Onosaka, Nobuyuki Hiyama, Shizuka Ito, Daiki Nakamura, Kisho Taniyama, Rina Sato, Kana Ueda, Kana Asumi, Mitsuki Saiga, Takako Honda, Yukari Fukui, Kiyoyuki Yanada, Michiko Neya, Akio Suyama, Kiyoshi Kawakubo, Narushi Ikeda, Andrea Kwan, Brett Weaver, Bridget Hoffman, Dave Bridges, David Lee Mckinney, Hynden Walch, Kyle Hebert, Michelle Ruff, Yuri Lowenthal",Japan,2017-09-01T00:00:00Z,2007,TV-14,1,"Anime Series, International TV Shows","When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble."
High Risk,Unknown,Unknown,United States,2017-09-01T00:00:00Z,1988,TV-G,1,"Docuseries, Reality TV","From scientists to snake handlers, this series explores what motivates some people to put themselves in jeopardy to perform extraordinary feats."
LEGO Elves: Secrets of Elvendale,Unknown,"Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr",United States,2017-09-01T00:00:00Z,2017,TV-Y7,1,Kids' TV,"Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series."
Maniac,Unknown,"Espen Petrus Andersen Lervaag, Håkon Bast Mossige, Arif Salum, Ingeborg Raustøl, Marte Germaine Christensen, Mats Mogeland",Norway,2017-09-01T00:00:00Z,2015,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas","A nondescript man in a mental hospital has an exciting life of adventure and romance – in his head. He may be insane, or maybe he's just having fun."
Tip the Mouse,Unknown,"Alyson Leigh Rosenfeld, Dave Wills, Serra Hirsch, Erica Schroeder, Jason Griffith",International,2017-09-01T00:00:00Z,2014,TV-Y,1,Kids' TV,"In his tiny meadow village, curious little mouse Tip enjoys fun and adventure while learning about the world with his furry friends and family."
Conspiracy,Unknown,Mark Bazeley,United Kingdom,2016-09-01T00:00:00Z,2015,TV-14,1,"British TV Shows, Docuseries","Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues."
Dead Set,Unknown,"Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak",United Kingdom,2016-09-01T00:00:00Z,2008,TV-MA,1,"British TV Shows, TV Horror, TV Thrillers","While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound."
Easy Fortune Happy Life,Unknown,"Lan Cheng-lung, Joe Chen, Roy Chiu, Jocelyn Wang, Chieh-kai Shiou, Ting Chiang, Wang Chuan",Taiwan,2016-09-01T00:00:00Z,2009,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients."
Game Winning Hit,Unknown,"Lego Lee, Alice Ko, Afalean Lu, Tsai Chen-nan, Wang Chuan, Leiya Gao, Charlize Lin",Taiwan,2016-09-01T00:00:00Z,2009,TV-PG,1,"International TV Shows, TV Comedies, TV Dramas",An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
Lucky Days,Unknown,"Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien",China,2016-09-01T00:00:00Z,2010,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage."
Station Horizon,Unknown,"Bernard Yerlès, Roland Vouilloz, Gaspard Boesch, Alexandra Vandernoot, Marie Fontannaz, Lavinia Longhi, Baptiste Gilliéron",Switzerland,2016-09-01T00:00:00Z,2015,TV-MA,1,"International TV Shows, TV Comedies, TV Dramas","Ex-con Joris returns to his Swiss hometown, a community obsessed with American culture and ideals, to start over and save his family's gas station."
The Fierce Wife,Unknown,"Sonia Sui, James Wen, Amanda Chu, Chris Wang, Karen Ying-Chen Hu, Patrick Lee, Janel Tsai, Li-li Pan, Fu Lei",Taiwan,2016-09-01T00:00:00Z,2010,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas",Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.
The Womanizer,Unknown,"Lan Cheng-lung, Sonia Sui, James Wen, Bianca Bai, George Chang, Chung Hsin-ling, Tzu-chiang Chao, Xiao Xiao Bin",China,2016-09-01T00:00:00Z,2010,TV-PG,1,"International TV Shows, Romantic TV Shows, TV Comedies",Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.
The Year of Happiness and Love,Unknown,"Amber Kuo, James Wen, Weber Yang, Sonia Sui, Nien-Jen Wu, Kay Huang, Tsai Chen-nan, Lin Mei-hsiu",Taiwan,2016-09-01T00:00:00Z,2009,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune."
Witches: A Century of Murder,Unknown,Suzannah Lipscomb,United Kingdom,2016-09-01T00:00:00Z,2015,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries","Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin."
Rhythm + Flow,Unknown,"Cardi B, Chance The Rapper, T.I.",United States,2019-10-09T00:00:00Z,2019,TV-MA,1,Reality TV,"In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar."
StoryBots Super Songs,Unknown,"Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis",United States,2016-10-07T00:00:00Z,2016,TV-Y,1,Kids' TV,"Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more."
ID-0,Unknown,"Kazuyuki Okitsu, Minami Tsuda, Masaya Matsukaze, Sayaka Ohara, Rikiya Koyama, Hisako Kanemoto, Ari Ozawa, Junko Minagawa, Reina Ueda",Japan,2017-10-06T00:00:00Z,2017,TV-14,1,"Anime Series, International TV Shows","In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure."
Legend Quest: Masters of Myth,Unknown,"Johnny Rose, Annemarie Blanco, Paul Tei, Oscar Cheda, Chuck Morgan, Jenna Lamia, James Carrey",Mexico,2019-10-05T00:00:00Z,2019,TV-Y7,1,Kids' TV,"When mythical creatures come to life, it's up to Leo, Teodora, Don Andrés and Alebrije – super-secret monster hunters – to save the day."
My Country: The New Age,Unknown,"Yang Se-Jong, Woo Do‑hwan, Seolhyun, Jang Hyuk, Kim Young-chul, In Gyo-jin, Yu Oh-seong, Ahn Nae-sang",South Korea,2019-10-05T00:00:00Z,2019,TV-14,1,"International TV Shows, Korean TV Shows, TV Action & Adventure","At the end of the Goryeo period, there were those who led the charge to proclaim a new age – and the ordinary individuals who risked everything."
Dancing Queen,Unknown,"Justin ""Alyssa Edwards"" Johnson",Unknown,2018-10-05T00:00:00Z,2018,TV-14,1,Reality TV,Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day – and the drag world by night.
Empire Games,Unknown,Jim O'Brien,International,2018-10-05T00:00:00Z,2018,TV-14,1,Docuseries,Interviews with scholars and dramatic reenactments bring to life the origins and history-making achievements of the world's greatest ancient empires.
LOST SONG,Unknown,"Konomi Suzuki, Yukari Tamura, Misaki Kuno, Chiaki Takahashi, Seiichiro Yamashita, Asami Seto, Yu Serizawa, Ai Kayano, Tsuyoshi Koyama, Yuto Suzuki, Mitsuru Ogata, Hiroshi Ito",Japan,2018-10-05T00:00:00Z,2018,TV-14,1,"Anime Series, International TV Shows","War looms over the kingdom of Neunatia, where two young women are both burdened and blessed by the power of song."
YG Future Strategy Office,Unknown,"Seungri, Yoo Byung Jae, Lee Jai-jin, Jinu, Son Se-bin, Kim Ga-eun, Park Choong-hwan, Baek Yeong-gwang, Choi Sin-deuk",South Korea,2018-10-05T00:00:00Z,2018,TV-MA,1,"International TV Shows, Korean TV Shows, TV Comedies","K-pop star Seungri, BIGBANG's youngest member, tries to lead a team of bumbling staff at YG's Future Strategy Office in this mockumentary sitcom."
Raising Dion,Unknown,"Alisha Wainwright, Ja'Siah Young, Jason Ritter, Michael B. Jordan, Jazmyn Simon, Ali Ahn, Sammi Haney",United States,2019-10-04T00:00:00Z,2019,TV-PG,1,"Kids' TV, TV Action & Adventure, TV Dramas",A widowed mom sets out to solve the mystery surrounding her young son's emerging superpowers while keeping his extraordinary gifts under wraps.
Violet Evergarden: Special,Unknown,"Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Kouki Uchiyama, Minori Chihara, Haruka Tomatsu, Yoko Hikasa",Japan,2018-10-04T00:00:00Z,2018,TV-PG,1,"Anime Series, International TV Shows, Romantic TV Shows","Auto Memory Doll Violet Evergarden writes letters for people who can’t, learning about her war-torn country and her own hardened heart along the way."
Nowhere Man,DJ Chen,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",Taiwan,2019-10-31T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, International TV Shows, TV Action & Adventure","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one."
Sleepless Society: Bedtime Wishes,Unknown,"Shahkrit Yamnarm, Savika Chaiyadej, Supoj Chancharoen, Pairoj Sangwariboot, Suchao Pongwilai, Nataya Chanrung, Papangkorn Lerkchaleampote, Suchada Tongam, Sasin Chow",Unknown,2019-10-31T00:00:00Z,2019,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","During a holiday stay at a hotel resort, a flight attendant encounters a wealthy, mysterious man with two different personas."
Zumbo's Just Desserts,Unknown,"Adriano Zumbo, Rachel Khoo",Australia,2017-10-31T00:00:00Z,2016,TV-14,1,"International TV Shows, Reality TV","Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize."
"Bring It On, Ghost",Park Joon-hwa,"Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun",South Korea,2019-10-30T00:00:00Z,2016,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",A college student with psychic abilities takes in an amnesiac ghost as his roommate – who ends up helping him hunt down spooky spirits.
